Lat, Lon, Info
49.21608, -0.29654, Solvalor CAEN
47.43679, 00.80195, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=47.43361180000001&lng=0.7423716&fid=0x47fcd388a62f2095:0x34b3885aacb0d36c&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Geoffrey DRUGEON : 06 31 66 31 73 geoffrey.drugeon@ortec.fr Mickaël ABGUILLERM : 06 34 37 34 17 mickael.abguillerm@ortec.fr Yann OLANIER : 06 27 16 49 32 yann.olanier@ortec.fr
44.56807, -1.00331, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=44.5680694&lng=-1.0033081999999998&fid=0xd5491e3a1e7f819:0x61935b2279f6aed0&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Terres polluées joffrey.caron@solvalor.fr
43.45535, 01.97306, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=43.455287899999995&lng=1.9731199000000004&fid=0x12ae5d437bf6c637:0x44db7a07646f422c&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Terres polluées 			Madame MOREAU mmoreau@seps-france.fr Monsieur Cazeres scazeres@seps-france.fr
45.62325, 04.80218, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=45.623246699999996&lng=4.8021826999999995&fid=0x47f4e7ecaad484ed:0x2cb0f41526d95e65&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9326&useragent=GoogleEarth/7.3.6.9326(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Amiante Cimant / Amiante libre / Vinyl Amiante / Terre Polluée	Terre Végétale	Déchets Inertes mélangés / Béton / Enrobé bitumineux / Terre non polluéePierre Alban MAISTRE	06 16 53 31 66	pamaistre@revaga.comISDI+ BIOCENTRE !
43.88463, 01.29677, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=43.8837303&lng=1.29603395&fid=0x12ac05e11c961bdf:0xac78f2c24eeb2cd2&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>brice.rouzies@ortec.fr
48.66392, 07.77103, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=48.6639175&lng=7.7710289&fid=0x4796c7674bbb6341:0xcd0868f4136fc05e&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>ISDI		Biocentre03 67  34 34 21elodie.lopes@ecoterem.fr
49.23605, 06.15891, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=49.2360111&lng=6.158919849999999&fid=0x479527065ccd0bcb:0xf44471abbf3ad769&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9326&useragent=GoogleEarth/7.3.6.9326(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Déchets Dangereux  Déchets Non-Dangereux Biocentre  03 20 85 31 80Marina CONCAS <marina.concas@ortec.fr>Thibault BLONDE <Thibault.BLONDE@ortec.fr>
47.43679, 00.80195, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=47.43361180000001&lng=0.7423716&fid=0x47fcd388a62f2095:0x34b3885aacb0d36c&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>Geoffrey DRUGEON : 06 31 66 31 73 geoffrey.drugeon@ortec.fr Mickaël ABGUILLERM : 06 34 37 34 17 mickael.abguillerm@ortec.fr Yann OLANIER : 06 27 16 49 32 yann.olanier@ortec.fr
48.60983, 07.65109, <!DOCTYPE html><html><head></head><body><script type="text/javascript">window.location.href="https://www.google.com/earth/rpc/entity?lat=48.3646&lng=7.28588&fid=0x4796b76dcc4b8ee9:0xe3a6ce244aa1d38e&hl=fr&gl=fr&client=earth-client&cv=7.3.6.9345&useragent=GoogleEarth/7.3.6.9345(Windows;Microsoft Windows (6.2.9200.0);fr;kml:2.2;client:Pro;type:default)";</script></body></html>
